county,state_name,lat,lng,population
Sussex,New Jersey,41.1393,-74.6909,144808
Douglas,Georgia,33.7019,-84.7679,144735
Coconino,Arizona,35.8387,-111.7705,144705
Randolph,North Carolina,35.7103,-79.806,144403
Rock Island,Illinois,41.4673,-90.5674,143819
Jackson,Mississippi,30.5425,-88.6358,143721
Livingston,Louisiana,30.4401,-90.7279,143425
Lebanon,Pennsylvania,40.3672,-76.4577,143258
Schuylkill,Pennsylvania,40.7058,-76.216,143201
Taylor,Texas,32.3015,-99.8901,143029
Wright,Minnesota,45.174,-93.963,142543
Randall,Texas,34.9659,-101.897,141489
Spotsylvania,Virginia,38.1851,-77.6561,141097
Monroe,Indiana,39.1609,-86.5231,140065
Brunswick,North Carolina,34.0715,-78.2383,139721
Marathon,Wisconsin,44.8983,-89.7591,137820
Napa,California,38.507,-122.3306,137384
Hampton,Virginia,37.0554,-76.3632,137217
Florence,South Carolina,34.0245,-79.703,137015
Grayson,Texas,33.6268,-96.6777,137008
Washington,Wisconsin,43.3685,-88.2307,136842
Boone,Kentucky,38.9699,-84.7278,136150
Humboldt,California,40.6993,-123.8756,136132
Blount,Tennessee,35.6872,-83.9255,135951
Clark,Ohio,39.9167,-83.7844,135877
Warren,Kentucky,36.9936,-86.4238,135307
Harnett,North Carolina,35.3689,-78.8693,134718
Cache,Utah,41.7225,-111.7436,134428
Calhoun,Michigan,42.2465,-85.0056,134011
Tangipahoa,Louisiana,30.6266,-90.4057,133953
Washington,Tennessee,36.2933,-82.4974,133282
Cambria,Pennsylvania,40.4951,-78.7134,133263
Kendall,Illinois,41.5906,-88.4288,132795
Sumter,Florida,28.7048,-82.081,131832
Wood,Ohio,41.3617,-83.623,131564
Tazewell,Illinois,40.5075,-89.5135,131276
Pickens,South Carolina,34.8873,-82.7253,131106
Black Hawk,Iowa,42.4701,-92.3088,131041
Strafford,New Hampshire,43.297,-71.0288,130965
Madison,Indiana,40.1616,-85.7194,130545
Washington,Rhode Island,41.4697,-71.6226,129998
Wichita,Texas,33.988,-98.7035,129584
Rapides,Louisiana,31.1986,-92.5332,129536
Skagit,Washington,48.4795,-121.729,129480
Hunterdon,New Jersey,40.5673,-74.9122,129099
Bossier,Louisiana,32.6784,-93.6049,128877
Clarke,Georgia,33.9512,-83.3673,128864
Berkshire,Massachusetts,42.3707,-73.2063,128763
Linn,Oregon,44.4887,-122.5343,128598
Fayette,Pennsylvania,39.9201,-79.6474,128417
Sebastian,Arkansas,35.1989,-94.2743,128184
Chautauqua,New York,42.2281,-79.3663,127440
Ascension,Louisiana,30.2036,-90.9113,126973
Cochise,Arizona,31.8796,-109.7512,125504
Richland,Ohio,40.7747,-82.5365,125008
Faulkner,Arkansas,35.147,-92.332,124611
Bonneville,Idaho,43.3877,-111.6148,124490
Gregg,Texas,32.4805,-94.817,124245
Kennebec,Maine,44.4091,-69.7673,124003
Saline,Arkansas,34.6466,-92.6766,123988
Berkeley,West Virginia,39.4641,-78.0275,123283
Morgan,Alabama,34.4535,-86.8529,123102
Jasper,Missouri,37.2036,-94.3406,122788
Blair,Pennsylvania,40.4811,-78.3483,122640
San Juan,New Mexico,36.5085,-108.3206,121798
Comanche,Oklahoma,34.6621,-98.4717,121777
Clark,Indiana,38.4772,-85.7073,121484
La Crosse,Wisconsin,43.9066,-91.1152,120216
Allegan,Michigan,42.5913,-85.8883,120189
Carroll,Georgia,33.5828,-85.0798,120060
Gallatin,Montana,45.5404,-111.1704,119685
Tom Green,Texas,31.4044,-100.4621,119276
Fayette,Georgia,33.4139,-84.4943,119259
Douglas,Kansas,38.8847,-95.2926,119094
Missoula,Montana,47.0365,-113.9237,118541
Lowndes,Georgia,30.8338,-83.2677,118257
